Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2010","2010","°C","1.015","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2011","2011","°C","0.616","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2012","2012","°C","0.316","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2013","2013","°C","0.766","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2014","2014","°C","0.942","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2015","2015","°C","1.433","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2016","2016","°C","1.33","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2017","2017","°C","1.106","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2018","2018","°C","1.007","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2019","2019","°C","1.557","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7001","January","2020","2020","°C","1.317","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2010","2010","°C","1.542","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2011","2011","°C","0.546","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2012","2012","°C","0.531","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2013","2013","°C","0.818","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2014","2014","°C","0.831","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2015","2015","°C","0.975","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2016","2016","°C","1.849","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2017","2017","°C","1.011","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2018","2018","°C","0.615","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2019","2019","°C","1.261","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2020","2020","°C","1.048","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2010","2010","°C","1.538","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2011","2011","°C","0.405","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2012","2012","°C","0.654","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2013","2013","°C","0.93","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2014","2014","°C","0.697","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2015","2015","°C","0.872","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2016","2016","°C","1.487","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2017","2017","°C","0.987","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2018","2018","°C","1.361","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2019","2019","°C","1.217","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7003","March","2020","2020","°C","1.327","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2010","2010","°C","1.054","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2011","2011","°C","0.912","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2012","2012","°C","1.203","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2013","2013","°C","0.802","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2014","2014","°C","1.128","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2015","2015","°C","1.368","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2016","2016","°C","2.153","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2017","2017","°C","1.186","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2018","2018","°C","1.371","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2019","2019","°C","1.713","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7004","April","2020","2020","°C","1.2","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2010","2010","°C","1.164","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2011","2011","°C","0.623","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2012","2012","°C","0.948","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2013","2013","°C","1.059","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2014","2014","°C","0.977","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2015","2015","°C","1.227","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2016","2016","°C","1.272","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2017","2017","°C","1.835","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2018","2018","°C","1.228","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2019","2019","°C","1.835","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7005","May","2020","2020","°C","0.874","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2010","2010","°C","1.283","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2011","2011","°C","0.968","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2012","2012","°C","1.337","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2013","2013","°C","1.582","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2014","2014","°C","1.431","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2015","2015","°C","1.602","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2016","2016","°C","0.752","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2017","2017","°C","1.629","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2018","2018","°C","0.824","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2019","2019","°C","2.136","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7006","June","2020","2020","°C","1.789","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2010","2010","°C","1.166","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2011","2011","°C","1.178","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2012","2012","°C","0.882","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2013","2013","°C","0.932","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2014","2014","°C","1.02","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2015","2015","°C","1.788","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2016","2016","°C","1.729","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2017","2017","°C","0.918","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2018","2018","°C","1.374","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2019","2019","°C","1.169","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7007","July","2020","2020","°C","1.659","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2010","2010","°C","0.627","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2011","2011","°C","1.279","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2012","2012","°C","1.186","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2013","2013","°C","0.294","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2014","2014","°C","1.212","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7008","August","2015","2015","°C","2.147","Fc","Calculated data"
