Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2010","2010","1000 US$","818641","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2011","2011","1000 US$","1065985","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2012","2012","1000 US$","852642","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2013","2013","1000 US$","710554","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2014","2014","1000 US$","675956","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2015","2015","1000 US$","311025","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2016","2016","1000 US$","291389","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2017","2017","1000 US$","373760","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2018","2018","1000 US$","377712","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2019","2019","1000 US$","463538","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","515","Apples","2020","2020","1000 US$","335361","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2010","2010","1000 US$","141103","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2011","2011","1000 US$","183756","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2012","2012","1000 US$","146461","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2013","2013","1000 US$","130778","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2014","2014","1000 US$","110578","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2015","2015","1000 US$","63944","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2016","2016","1000 US$","78101","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2017","2017","1000 US$","87569","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2018","2018","1000 US$","86518","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2019","2019","1000 US$","91671","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","572","Avocados","2020","2020","1000 US$","91798","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2010","2010","1000 US$","1949560","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2011","2011","1000 US$","4480144","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2012","2012","1000 US$","3860855","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2013","2013","1000 US$","4222430","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2014","2014","1000 US$","4312239","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2015","2015","1000 US$","3197420","Fc","Calculated data"
"QV","Value of Agricultural Production","21","Brazil","57","Gross Production Value (current thousand US$)","486","Bananas","2016","2016","1000 US$","4174796","Fc","Calculated data"
